intersection,turnings,capacity,delay
1,"[(0, 1, 4), (0, 1, 9)]","[16, 16]","[2, 2]"
2,"[(0, 2, 3), (0, 2, 7), (0, 2, 11), (7, 2, 11)]","[16, 12, 12, 10]","[3, 3, 3, 3]"
3,"[(2, 3, 17), (2, 3, 19)]","[12, 12]","[2, 2]"
4,"[(1, 4, 5), (1, 4, 16)]","[12, 12]","[2, 2]"
5,"[(4, 5, 18)]",[10],[0]
6,"[(0, 6, 7), (0, 6, 18)]","[16, 8]","[2, 2]"
7,"[(2, 7, 19), (2, 7, 20), (6, 7, 2), (6, 7, 19), (6, 7, 20)]","[8, 8, 8, 8, 8]","[4, 4, 4, 4, 4]"
8,"[(9, 8, 14), (9, 8, 16)]","[8, 6]","[2, 2]"
9,"[(1, 9, 8), (1, 9, 10), (1, 9, 13), (10, 9, 8), (10, 9, 13)]","[12, 12, 8, 8, 8]","[4, 4, 4, 4, 4]"
10,"[(9, 10, 11), (9, 10, 12), (11, 10, 12), (11, 10, 9)]","[10, 10, 8, 10]","[3, 3, 3, 3]"
11,"[(2, 11, 10), (2, 11, 15), (10, 11, 15)]","[12, 12, 12]","[2, 2, 2]"
12,"[(10, 12, 13), (10, 12, 15)]","[12, 12]","[2, 2]"
